RUC|NOMBRE O RAZON SOCIAL|ESTADO DEL CONTRIBUYENTE|CONDICION DE DOMICILIO|UBIGEO|TIPO DE VIA|NOMBRE DE VIA|CODIGO DE ZONA|TIPO DE ZONA|NUMERO|INTERIOR|LOTE|DEPARTAMENTO|MANZANA|KILOMETRO|
20450798721|JG BELPER SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - JG BELPER S.R.L.|BAJA DE OFICIO|HABIDO|080108|-|-|URB.|CONSTANCIA|B-3|-|-|402|-|-|
20450799026|ASOCIACION SERVICIO TURISTICO MADRE DE DIOS|BAJA DE OFICIO|NO HABIDO|170101|AV.|15 DE AGOSTO|A.H.|CARLOS FERMIN FITZCARRALD|727|-|-|-|-|-|
20450799531|ELCASSA S.R.L.|BAJA DE OFICIO|NO HABIDO|080101|-|-|URB.|LOS ANDENES|D-18|-|-|-|-|-|
20528042300|V & C TRAVEL & SERVICE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - V & C TRAVEL & SERVICE EIRL|BAJA DE OFICIO|HABIDO|080101|CAL.|SUYTUCCATO|----|BARRIO SAN BLAS|807|-|-|-|-|-|
20528042482|FACMA SOCIEDA COMERCIAL DE RESPONSABILIDAD LIMITADA|BAJA DE OFICIO|NO HABIDO|080104|-|-|----|C.C COLLANA CHAHUANCCOSCO|SN|-|-|-|-|-|
20528042563|COMERCIOS INDUSTRIALES Y MINEROS ALTO HUANCANE SOCIEDAD AN NIMA - CIMAH S.A.|ACTIVO|HABIDO|080801|CAL.|AREQUIPA|A.V.|TINTAYA MARQUIRI|104|-|-|-|-|-|
20528009604|INDUSTRIAL CONDOR SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|BAJA DE OFICIO|HABIDO|080104|CAL.|LOS ANDES|-|-|5|-|-|-|-|-|
20528060626|PERU-THE INKA'S HERITAGE EL MIRADOR MATADOR DE SANTA ANA E.I.R.L.|BAJA DE OFICIO|HABIDO|080101|AV.|LA RAZA|-|-|887|-|-|-|-|-|
20450770800|ACUARIO PRIMO SOCIEDAD ANONIMA CERRADA|BAJA DE OFICIO|HABIDO|170101|AV.|ELMER FAUCETT|----|C.P.M. LA JOYA|C-1|-|-|-|-|-|
20528010441|EMPRESA CULONA MULTISERVICIOS DE TRANSPORTISTAS UNIDOS SOCIEDAD ANONIMA - EMTUSA S.A.|BAJA DE OFICIO|HABIDO|081202|-|-|----|C.P. MENOR PI IPAMPA|SN|-|-|-|-|-|
20528010793|CENTRO ANDINO DE ESTUDIOS Y DESARROLLO HUMANO WILCAMAYO|BAJA DE OFICIO|NO HABIDO|080108|PJ.|CARPIO|-|-|-|-|359A|-|K-1|-|
20528010955|TAMBOPATA DISTRIBUCIONES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - TAMBOPATA DISTRIBUCIONES E|BAJA DE OFICIO|NO HABIDO|080104|CAL.|AGUSTIN GAMARRA|-|-|53|-|-|-|-|-|
20528011099|EMPRESA DE TRANSPORTES EXPRESO SAYWAS SOCIEDAD ANONIMA CERRADA-"E.T. EXPRESO SAYWAS S.A.C."|ACTIVO|HABIDO|080108|AV.|TOMASA TTITO CONDEMAYTA|-|-|1615|-|-|-|-|-|
